Year,Total Return %,Sector
1987,19015.7%,Technology
1998,17516.7%,Technology
2001,10504.7%,Technology
1988,8791.4%,Technology
2003,8315.4%,Technology
1986,7011.1%,Technology
1989,6972.3%,Technology
1985,6855.1%,Technology
1999,6556.1%,Technology
1997,6337.1%,Technology
2004,5861.7%,Technology
1990,5089.3%,Technology
2002,4482.0%,Technology
2015,3356.9%,Technology
2013,3300.3%,Technology
1996,2953.0%,Technology
1991,2274.3%,Technology
2016,2252.1%,Technology
2012,2092.9%,Financials
2000,2010.8%,Technology
2014,1943.0%,Technology
2012,1790.9%,Technology
2017,1723.1%,Technology
2009,1696.6%,Technology
2005,1552.8%,Technology
1994,1517.4%,Technology
1995,1427.0%,Technology
2016,1381.4%,Financials
2013,1368.7%,Financials
2014,1145.7%,Financials
2011,1101.4%,Technology
2009,1073.4%,Financials
2017,974.8%,Financials
2010,967.6%,Financials
2010,948.2%,Technology
2015,916.2%,Financials
2006,774.9%,Technology
2007,738.4%,Technology
2011,539.0%,Financials
1993,516.5%,Technology
1992,503.7%,Technology
2006,447.7%,Financials
2007,390.3%,Financials
2000,361.2%,Financials
2003,327.8%,Financials
2001,326.8%,Financials
1987,275.7%,Energy
1991,261.0%,Retail
1986,258.3%,Energy
2009,256.6%,ETF
1992,256.3%,Retail
2005,253.9%,Financials
1999,250.3%,Financials
1988,248.2%,Energy
2006,235.0%,ETF
2007,222.4%,ETF
2004,211.4%,Financials
1991,200.3%,Financials
2005,199.5%,ETF
1999,182.3%,Energy
1984,180.3%,Energy
1989,175.4%,Energy
2000,175.4%,Energy
2008,175.1%,Technology
2013,171.4%,ETF
1999,168.4%,Retail
1983,161.9%,Retail
2016,158.2%,Energy
2010,157.0%,ETF
1975,156.1%,Energy
1996,156.0%,Energy
1983,155.9%,Energy
1985,154.9%,Retail
1998,153.6%,Retail
1985,149.1%,Energy
2012,143.4%,ETF
1970,141.2%,Energy
1992,139.3%,Energy
1982,136.7%,Retail
,136.2%,Technology
2003,135.9%,Energy
2017,135.8%,Energy
2010,133.0%,Energy
1997,132.6%,Energy
2014,131.9%,ETF
1998,129.2%,Energy
1991,128.2%,Energy
1972,126.9%,Energy
1993,126.5%,Energy
1993,123.3%,Retail
2002,120.9%,Financials
2011,119.1%,ETF
2017,117.8%,ETF
1976,117.7%,Energy
1997,117.1%,Retail
2013,116.3%,Energy
1995,115.0%,Energy
1971,112.8%,Energy
1988,112.6%,Financials
2004,112.1%,Energy
2008,112.1%,Financials
1994,111.4%,Retail
2001,110.1%,Energy
2011,109.4%,Energy
1990,108.1%,Energy
1995,107.0%,Retail
1994,105.8%,Energy
2016,105.1%,ETF
1988,104.2%,Retail
1989,103.9%,Retail
2012,99.0%,Energy
1975,98.5%,Retail
1996,95.8%,Retail
2009,95.8%,Energy
2015,95.1%,ETF
1980,90.8%,Retail
1992,85.5%,Financials
2001,84.1%,Retail
1982,80.3%,Energy
2003,80.0%,Retail
1999,78.7%,ETF
2007,78.0%,Energy
1995,77.3%,Financials
1980,76.8%,Energy
2006,76.4%,Energy
2005,75.4%,Energy
1996,73.3%,Financials
1989,73.3%,Financials
1990,70.0%,Retail
2008,68.2%,ETF
1984,67.4%,Retail
1973,67.0%,Energy
1982,67.0%,Technology
2002,63.0%,Energy
2014,62.4%,Energy
2009,58.8%,Retail
1998,56.3%,Financials
2000,54.6%,Retail
1972,49.9%,Retail
1997,49.6%,Financials
2003,47.5%,ETF
1986,46.2%,Retail
1981,42.8%,Retail
1976,42.1%,Financials
2014,41.7%,Retail
1978,41.6%,Energy
2004,41.4%,Retail
1985,40.9%,Financials
2013,40.7%,Retail
1977,39.8%,Retail
1979,37.5%,Retail
2012,37.5%,Retail
2015,34.4%,Energy
2017,34.0%,Retail
1975,33.3%,Technology
1977,33.1%,Energy
1979,31.8%,Energy
1983,28.8%,Technology
1981,28.0%,Financials
1984,27.8%,Financials
2002,27.7%,Retail
1974,26.7%,Energy
1976,24.9%,Retail
2010,24.7%,Retail
1976,24.4%,Technology
2008,21.8%,Energy
2016,21.5%,Retail
2006,19.6%,Retail
1972,19.5%,Technology
2008,18.2%,Retail
1980,16.5%,Financials
1978,14.5%,Retail
1987,13.9%,Retail
1987,12.5%,Financials
2011,11.6%,Retail
1982,11.4%,Financials
1978,11.2%,Technology
2004,9.9%,ETF
1983,9.2%,Financials
1970,9.1%,Financials
1980,7.8%,Technology
1993,7.0%,Financials
1971,6.2%,Technology
2005,4.4%,Retail
2007,3.2%,Retail
1975,2.7%,Financials
1984,0.7%,Technology
1994,0.5%,Financials
1974,0.0%,Retail
1977,-0.7%,Financials
1977,-1.1%,Technology
2015,-1.7%,Retail
1986,-2.0%,Financials
1979,-2.1%,Financials
1981,-5.0%,Energy
1972,-7.1%,Financials
1978,-11.7%,Financials
1970,-12.8%,Technology
1971,-13.5%,Financials
1979,-13.7%,Technology
1981,-16.2%,Technology
1973,-21.4%,Financials
1973,-23.8%,Technology
1974,-29.9%,Financials
1974,-31.9%,Technology
2001,-33.6%,ETF
1990,-34.8%,Financials
2002,-38.4%,ETF
2000,-39.3%,ETF
1973,-66.4%,Retail
